Source,Type,Target,Weight
Дети,Undirected,Ученый,1
Дети,Undirected,Ховун,1
Древолюд,Undirected,Заяц,1
Древолюд,Undirected,Липовый парень,1
Древолюд,Undirected,Липяное бывьмо,1
Древолюд,Undirected,Мамки,1
Древолюд,Undirected,Молодой рабочий,1
Древолюд,Undirected,Молчащие сестры,1
Древолюд,Undirected,Морозный тятька,1
Древолюд,Undirected,Некий глас,1
Древолюд,Undirected,Немини,1
Древолюд,Undirected,Няня-леший,1
Древолюд,Undirected,Рында,1
Древолюд,Undirected,Сказчич-Морочич,1
Древолюд,Undirected,Слепини,1
Древолюд,Undirected,Смехини,1
Древолюд,Undirected,Снегомужье,1
Древолюд,Undirected,Снегун,1
Древолюд,Undirected,Снегчие,1
Древолюд,Undirected,Снежак,1
Древолюд,Undirected,Снежачиха,1
Древолюд,Undirected,Снежные мамки,1
Древолюд,Undirected,Снезини,1
Древолюд,Undirected,Старушка-докладчица,1
Женщина с ведрами,Undirected,Зимний голос,1
Женщина с ведрами,Undirected,Мальчики,1
Женщина с ведрами,Undirected,Некто,1
Женщина с ведрами,Undirected,Нищий,1
Женщина с ведрами,Undirected,Отставший спутник,1
Женщина с ведрами,Undirected,Пристав,1
Женщина с ведрами,Undirected,Прохожие,1
Женщина с ведрами,Undirected,Пьяница,1
Женщина с ведрами,Undirected,Славодей,1
Женщина с ведрами,Undirected,Снегей,1
Женщина с ведрами,Undirected,Снежимочка,1
Женщина с ведрами,Undirected,Старуха,1
Женщина с ведрами,Undirected,Ученый,1
Женщина с ведрами,Undirected,Ховун,1
Заяц,Undirected,Липовый парень,1
Заяц,Undirected,Липяное бывьмо,1
Заяц,Undirected,Мамки,1
Заяц,Undirected,Молодой рабочий,1
Заяц,Undirected,Молчащие сестры,1
Заяц,Undirected,Морозный тятька,1
Заяц,Undirected,Некий глас,1
Заяц,Undirected,Немини,1
Заяц,Undirected,Няня-леший,1
Заяц,Undirected,Рында,1
Заяц,Undirected,Сказчич-Морочич,1
Заяц,Undirected,Слепини,1
Заяц,Undirected,Смехини,1
Заяц,Undirected,Снегомужье,1
Заяц,Undirected,Снегун,1
Заяц,Undirected,Снегчие,1
Заяц,Undirected,Снежак,1
Заяц,Undirected,Снежачиха,1
Заяц,Undirected,Снежные мамки,1
Заяц,Undirected,Снезини,1
Заяц,Undirected,Старушка-докладчица,1
Зимний голос,Undirected,Мальчики,1
Зимний голос,Undirected,Некто,1
Зимний голос,Undirected,Нищий,1
Зимний голос,Undirected,Отставший спутник,1
Зимний голос,Undirected,Пристав,1
Зимний голос,Undirected,Прохожие,1
Зимний голос,Undirected,Пьяница,1
Зимний голос,Undirected,Славодей,1
Зимний голос,Undirected,Снегей,1
Зимний голос,Undirected,Снежимочка,1
Зимний голос,Undirected,Старуха,1
Зимний голос,Undirected,Ученый,1
Зимний голос,Undirected,Ховун,1
Кто-то из присутствующих,Undirected,Новые голоса удаляющихся,1
Кто-то из присутствующих,Undirected,Рокот,1
Кто-то из присутствующих,Undirected,Руководитель игры,1
Кто-то из присутствующих,Undirected,Руководитель празднества,1
Кто-то из присутствующих,Undirected,Старец,1
Кто-то,Undirected,Кто-то из присутствующих,1
Кто-то,Undirected,Новые голоса удаляющихся,1
Кто-то,Undirected,Рокот,1
Кто-то,Undirected,Руководитель игры,1
Кто-то,Undirected,Руководитель празднества,1
Кто-то,Undirected,Старец,1
Лешачиха,Undirected,Лешачонок,1
Лешачиха,Undirected,Печальный леший,1
Лешачиха,Undirected,Снегири,1
Лешачиха,Undirected,Снежак,1
Лешачонок,Undirected,Печальный леший,1
Лешачонок,Undirected,Снегири,1
Лешачонок,Undirected,Снежак,1
Липовый парень,Undirected,Липяное бывьмо,1
Липовый парень,Undirected,Мамки,1
Липовый парень,Undirected,Молодой рабочий,1
Липовый парень,Undirected,Молчащие сестры,1
Липовый парень,Undirected,Морозный тятька,1
Липовый парень,Undirected,Некий глас,1
Липовый парень,Undirected,Немини,1
Липовый парень,Undirected,Няня-леший,1
Липовый парень,Undirected,Рында,1
Липовый парень,Undirected,Сказчич-Морочич,1
Липовый парень,Undirected,Слепини,1
Липовый парень,Undirected,Смехини,1
Липовый парень,Undirected,Снегомужье,1
Липовый парень,Undirected,Снегун,1
Липовый парень,Undirected,Снегчие,1
Липовый парень,Undirected,Снежак,1
Липовый парень,Undirected,Снежачиха,1
Липовый парень,Undirected,Снежные мамки,1
Липовый парень,Undirected,Снезини,1
Липовый парень,Undirected,Старушка-докладчица,1
Липяное бывьмо,Undirected,Мамки,1
Липяное бывьмо,Undirected,Молодой рабочий,1
Липяное бывьмо,Undirected,Молчащие сестры,1
Липяное бывьмо,Undirected,Морозный тятька,1
Липяное бывьмо,Undirected,Некий глас,1
Липяное бывьмо,Undirected,Немини,1
Липяное бывьмо,Undirected,Няня-леший,1
Липяное бывьмо,Undirected,Рында,1
Липяное бывьмо,Undirected,Сказчич-Морочич,1
Липяное бывьмо,Undirected,Слепини,1
Липяное бывьмо,Undirected,Смехини,1
Липяное бывьмо,Undirected,Снегомужье,1
Липяное бывьмо,Undirected,Снегун,1
Липяное бывьмо,Undirected,Снегчие,1
Липяное бывьмо,Undirected,Снежак,1
Липяное бывьмо,Undirected,Снежачиха,1
Липяное бывьмо,Undirected,Снежные мамки,1
Липяное бывьмо,Undirected,Снезини,1
Липяное бывьмо,Undirected,Старушка-докладчица,1
Мальчики,Undirected,Некто,1
Мальчики,Undirected,Нищий,1
Мальчики,Undirected,Отставший спутник,1
Мальчики,Undirected,Пристав,1
Мальчики,Undirected,Прохожие,1
Мальчики,Undirected,Пьяница,1
Мальчики,Undirected,Славодей,1
Мальчики,Undirected,Снегей,1
Мальчики,Undirected,Снежимочка,1
Мальчики,Undirected,Старуха,1
Мальчики,Undirected,Ученый,1
Мальчики,Undirected,Ховун,1
Мамки,Undirected,Молодой рабочий,1
Мамки,Undirected,Молчащие сестры,1
Мамки,Undirected,Морозный тятька,1
Мамки,Undirected,Некий глас,1
Мамки,Undirected,Немини,1
Мамки,Undirected,Няня-леший,1
Мамки,Undirected,Рында,1
Мамки,Undirected,Сказчич-Морочич,1
Мамки,Undirected,Слепини,1
Мамки,Undirected,Смехини,1
Мамки,Undirected,Снегомужье,1
Мамки,Undirected,Снегун,1
Мамки,Undirected,Снегчие,1
Мамки,Undirected,Снежак,1
Мамки,Undirected,Снежачиха,1
Мамки,Undirected,Снежные мамки,1
Мамки,Undirected,Снезини,1
Мамки,Undirected,Старушка-докладчица,1
Молодой рабочий,Undirected,Молчащие сестры,1
Молодой рабочий,Undirected,Морозный тятька,1
Молодой рабочий,Undirected,Некий глас,1
Молодой рабочий,Undirected,Немини,1
Молодой рабочий,Undirected,Няня-леший,1
Молодой рабочий,Undirected,Рында,1
Молодой рабочий,Undirected,Сказчич-Морочич,1
Молодой рабочий,Undirected,Слепини,1
Молодой рабочий,Undirected,Смехини,1
Молодой рабочий,Undirected,Снегомужье,1
Молодой рабочий,Undirected,Снегун,1
Молодой рабочий,Undirected,Снегчие,1
Молодой рабочий,Undirected,Снежак,1
Молодой рабочий,Undirected,Снежачиха,1
Молодой рабочий,Undirected,Снежные мамки,1
Молодой рабочий,Undirected,Снезини,1
